URL form,UID list
https://taprate.app/claim/{uid},fe6b428e-5e3a-41fb-9918-e8a928070bac
,ef6b6717-55f2-4f95-99b6-6383dcbbf07e
,813dca65-c8f2-40cb-9131-f9952a9fb5f2
,6541c5d1-dac3-4973-84c4-c08645a19f34
,f1e90f44-3037-4f36-8553-89813179a401
,cefaed31-5691-49ac-8ce2-491256f678dc
,dbdc8527-4709-4e0f-bd70-51c72cd33004
,c9742546-8159-440e-b1ab-0ad31476a72e
,dfa87b1c-a4f5-4bb5-aec9-6d375534cbab
,999ec2c2-3dcb-4e40-bf32-ddce549f0343
,fdcb3a14-9b88-43ae-b604-ee90dc90c740
,53d70e00-4103-4ef9-91a0-e533bc7b6a3f
,bf035b8f-9a8f-425b-a798-bd26af5fe459
,91bb9af4-9bed-4c8c-862a-3a306f4cd72a
,2c340b9d-a29b-4878-b743-491930f69d17
,3531e760-6ce1-4309-a6c2-a32c701b09d6
,e28ce9e0-135d-4738-be4c-49092755bfde
,c090c614-dc65-4eba-a69a-8bfbc173542f
,be8bc3eb-ae66-48bb-92b8-f2ac39ce45e8
,87e2a508-3dcf-4111-a2d7-74df00d0b2ac
,17db5c17-0159-4a5f-b072-59494fe2e45f
,55edadeb-ba26-4af2-bd66-75fdc611da2f
,69e9bb2c-a991-4813-b3c1-cdc877c3f4e8
,21c83285-b0d5-46d6-be17-e7bed11c3e26
,a4725103-82ed-4a84-8d27-c815240c253f
,323fc193-86ae-4a89-9cf2-4f84afa8b7b0
,f8104ef8-b0e9-4b37-b52d-6455aa6e2f40
,fe81acee-2355-4338-806f-2871e42d49d4
,ecb6e97d-a12b-45ef-95b3-f20df5c0f1c6
,1925fe6b-e6cd-4b2f-8c42-e5abacadbbb7
,894dec27-e37f-4e73-869c-2b5243bcd69b
,e33b3b0a-3274-43aa-8999-ee46715e1b19
,eb170f56-c63c-4b13-8fdc-fa902fd06ddc
,4538018e-fb7e-46c9-9e72-f5a810476494
,45d3c43c-6bbe-447b-a201-e6b91082ae2a
,0be86260-9008-4e6d-8ece-ac08a270d8cf
,a9f15c0f-9822-4ff6-993f-ef3de09a98e8
,f961c70f-422f-4d5e-a54b-1adaf2e67fee
,f9786653-5c12-4bb2-b5d2-bce84833ddc2
,84e9bd97-ffa9-4775-9fe6-c469f2e41cf2
,6a2e1f48-70d2-4fa5-8622-121ae4738ced
,94044c6c-523d-4522-aed3-42c112d0854a
,1168315c-3f4c-4108-bf2b-1c8bfc6933b2
,f9b9fadd-f04b-4514-aa2c-aa693b944a38
,bad37663-2d2e-459f-9aec-dbc90d067ded
,54e94dbd-9309-4e9c-962c-6113c3856859
,7f349e07-1644-4038-9e35-93ed94307af6
,9e587097-30b0-4171-aed8-c6f0efc928b5
,ffd4ab96-849f-4667-a7f1-fb7879525b7f
,55e084d7-3445-4c7a-bf76-52fa9a99078e